x	y	log K
145.6924558	259.1702745	-0.127933319
341.991318	360.8313551	1.528739947
196.9401047	400.5794287	0.146054318
438.6633561	214.5692177	1.589822425
102.2275498	365.5299955	-1.484061794
366.2982386	346.387368	1.676116467
275.8016009	289.176914	-0.015695729
157.3093522	393.5349815	-1.483321086
99.86455257	44.61641417	0.040034724
416.2889433	426.0420163	0.018075246
232.609114	7.466329757	0.788447022
354.3541558	378.5641352	1.285183441
261.4331274	289.0065432	-0.033268537
423.3632545	290.217669	1.399828331
33.90601642	80.08268543	-0.578887957
315.7321453	431.2044561	0.842625553
432.1349844	324.8124032	1.575856322
394.5034969	290.8106577	0.947151179
123.197791	299.2924156	-1.255994138
110.7344643	281.7682445	-0.645113109
365.3702463	145.6642505	0.677026037
77.08148096	370.4940643	-1.473614467
268.7759587	149.4719944	1.272756418
295.2674052	262.9864872	0.216907995
221.6798356	118.7795855	-0.227002934
362.333446	346.3109791	1.676116467
449.0020015	41.97209618	0.629045339
227.5711794	328.5440103	1.435631377
183.6019906	366.737017	-0.031159555
287.5031881	347.1963497	1.640426885
28.59024032	265.9685459	-0.317120137
483.2634847	303.0601942	1.725566262
35.71260099	119.7802211	-0.339875079
476.2268749	413.6101033	0.515654878
477.1276584	93.35740368	1.066844852
346.4931429	461.2456085	0.674103401
184.1836894	147.22987	-0.535988209
368.0948858	283.737325	1.069470752
154.1141989	73.12258943	0.579354901
109.5398984	235.5681996	-0.136340882
315.5645161	344.0456989	1.558971703
255.0806452	155.8736559	1.484602762
