x	y	head
145.6924558	259.1702745	5.056837356
341.991318	360.8313551	3.581817604
196.9401047	400.5794287	3.734328079
438.6633561	214.5692177	4.976273312
102.2275498	365.5299955	6.507567941
366.2982386	346.387368	3.706668525
275.8016009	289.176914	3.713544075
157.3093522	393.5349815	4.280078788
99.86455257	44.61641417	6.500547318
416.2889433	426.0420163	3.936947868
232.609114	7.466329757	5.870989002
354.3541558	378.5641352	3.653345045
261.4331274	289.0065432	3.837378678
423.3632545	290.217669	4.43573559
33.90601642	80.08268543	9.028915136
315.7321453	431.2044561	3.586936601
432.1349844	324.8124032	4.254581636
394.5034969	290.8106577	4.046351112
123.197791	299.2924156	6.010307242
110.7344643	281.7682445	6.834543431
365.3702463	145.6642505	5.221523777
77.08148096	370.4940643	8.058215363
268.7759587	149.4719944	4.131711767
295.2674052	262.9864872	3.898388417
221.6798356	118.7795855	4.916046129
362.333446	346.3109791	3.686950571
449.0020015	41.97209618	6.67213163
227.5711794	328.5440103	3.734275595
183.6019906	366.737017	3.865622752
287.5031881	347.1963497	3.492183597
28.59024032	265.9685459	9.712764049
483.2634847	303.0601942	4.446022708
35.71260099	119.7802211	9.495018747
476.2268749	413.6101033	4.165845792
477.1276584	93.35740368	6.640716903
346.4931429	461.2456085	3.611508414
184.1836894	147.22987	4.580200359
368.0948858	283.737325	3.849603461
154.1141989	73.12258943	6.220352411
109.5398984	235.5681996	6.874836017
315.5645161	344.0456989	3.278058824
255.0806452	155.8736559	3.952879557
